Date,Exchange,Company Name,Number of Shares,Price,Status,Symbol,Number of Shares
2005-12-07,Nasdaq National Market,"VOCUS, INC.",5000000.0,9.00,priced,VOCS,45000000.0
2005-12-05,,"PIXELPLUS CO., LTD.",,,filed,PXPL,36000000.0
2005-12-02,New York Stock Exchange,"DCP MIDSTREAM, LP",9000000.0,21.50,priced,DPM,193500000.0
2005-12-02,,NUCRYST PHARMACEUTICALS CORP.,,,filed,NCSTV,45000000.0
2006-02-01,,KENAN ADVANTAGE GROUP INC,,,withdrawn,,
2006-02-01,New York Stock Exchange,TERNIUM S.A.,24844720.0,20.00,priced,TX,496894400.0
2006-02-01,American Stock Exchange,AMERICAN TELECOM SERVICES INC,3350000.0,5.05,priced,TES,16917500.0
2006-02-01,Nasdaq National Market,"INTERCELL USA, INC.",5000000.0,7.00,priced,IOMI,35000000.0
2006-02-01,Nasdaq National Market,"SGX PHARMACEUTICALS, INC.",4000000.0,6.00,priced,SGXP,24000000.0
2006-02-01,New York Stock Exchange,KOPPERS HOLDINGS INC.,10000000.0,14.00,priced,KOP,140000000.0
2006-01-31,Nasdaq National Market,"H&E EQUIPMENT SERVICES, INC.",10937500.0,18.00,priced,HEES,196875000.0
2006-01-31,Nasdaq National Market,REGENCY ENERGY PARTNERS LP,13750000.0,20.00,priced,RGNC,275000000.0
2006-01-31,Nasdaq National Market,"FORTUNET, INC.",2500000.0,9.00,priced,FNET,22500000.0
2006-01-30,Nasdaq SmallCap Market,PERION NETWORK LTD.,2500000.0,7.50,priced,MAIL,18750000.0
2006-01-27,,GSC CAPITAL CORP,,,withdrawn,,
2006-01-27,OTCBB,BIGSTRING CORP,15212670.0,0.48,priced,BSGC,7302082.0
2006-01-27,OTCBB,"BOULDER BRANDS, INC.",12760840.0,8.00,priced,BDSB,102086720.0
2006-01-26,Nasdaq National Market,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",6450000.0,21.50,priced,CLMT,138675000.0
2006-01-26,Nasdaq National Market,ALTUS PHARMACEUTICALS INC.,7000000.0,15.00,priced,ALTU,105000000.0
2006-01-26,New York Stock Exchange,CHIPOTLE MEXICAN GRILL INC,7878788.0,22.00,priced,CMG,173333336.0
2006-01-25,Nasdaq National Market,"TRAFFIC.COM, INC.",6550000.0,12.00,priced,TRFC,78600000.0
